yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.635,0.328,0.037,0.074,0.11,0.227,15.0,74.999877,656.248773,93.74979,193.749709,343.749307,856.248334,4124.992192,0.001
0.032,0.232,0.486,0.057,0.01,0.027,7.0,18.749927,87.49958,0.0,18.749893,49.99976,199.998852,5737.460073,0.000598
0.0,1.0,0.0,1.0,0.0,0.0,19.0,493.749867,4337.498727,174.99996,837.49971,3181.249108,5206.248502,27468.741443,0.00101
0.089,0.003,0.039,0.072,0.011,0.066,15.0,6.249972,124.998707,24.999768,24.999788,74.999151,256.246979,6187.432588,0.000596
0.0,1.0,0.0,0.884,0.0,0.116,19.0,218.749919,2243.749564,62.499985,437.499907,1706.24969,2706.249444,19587.496092,0.00059
0.0,1.0,0.0,0.972,0.0,0.028,19.0,468.749896,3806.249174,118.749979,674.999836,2868.74939,4487.499034,25318.744472,0.000893
0.0,1.0,0.0,0.664,0.336,0.0,19.0,31.249971,793.749496,37.499975,174.99989,574.99964,912.499391,6468.745987,0.000239
0.0,1.0,0.0,0.883,0.117,0.0,13.0,168.74998,1699.999713,112.499982,443.74993,1099.999805,2006.249673,19606.246848,0.000386
0.0,0.898,0.0,0.0,0.035,0.0,33.0,0.0,49.999603,0.0,12.499988,37.499615,99.99938,856.243474,0.00012
0.012,0.988,0.0,0.357,0.0,0.643,33.0,0.0,112.499446,12.499992,49.999749,49.999704,131.249363,1224.994489,0.000108
1.0,0.0,0.0,0.413,0.0,0.587,27.0,0.0,12.499998,0.0,0.0,12.499998,24.999996,33137.494199,6e-06
0.057,0.943,0.0,1.0,0.0,0.0,23.0,306.249939,3424.999363,106.249979,599.999891,2649.999503,3931.24927,20249.996227,0.000846
0.0,1.0,0.0,1.0,0.0,0.0,11.0,324.999964,1862.499832,137.499988,431.249964,1231.249885,2312.499781,39318.746149,0.000396
0.0,1.0,0.0,0.0,1.0,0.0,33.0,0.0,124.999072,6.24999,43.74954,74.999541,149.998939,931.243331,0.000145
0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,68.749486,0.0,18.749872,49.999613,81.249373,812.495685,7.9e-05
0.016,0.348,0.123,0.221,0.217,0.352,23.0,0.0,43.749228,0.0,24.999545,18.749683,49.999222,1937.484415,4e-05
0.0,0.0,1.0,0.0,0.163,0.837,5.0,0.0,0.0,0.0,0.0,0.0,0.0,74.990025,0.0
0.0,0.691,0.309,1.0,0.0,0.0,21.0,99.999962,2418.749295,81.249974,174.999959,2143.749368,2987.499115,17793.744614,0.000608
0.0,0.0,1.0,0.0,0.049,0.951,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.386,0.614,5.0,0.0,0.0,0.0,0.0,0.0,0.0,281.247099,0.0
0.0,1.0,0.0,0.536,0.464,0.0,5.0,49.999944,681.249079,49.999906,231.249779,387.499411,774.998971,7231.23991,0.000207
0.0,1.0,0.0,0.0,0.096,0.0,21.0,6.249991,681.246553,6.249871,118.749396,556.247287,762.496145,843.745488,0.002548
0.0,1.0,0.0,0.0,0.597,0.403,33.0,0.0,112.499663,6.24997,24.999914,81.24978,124.999631,962.496309,0.000127
