yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.023962,0.719577,0.793442,0.159203,5.840468,112.499967,856.249751,93.749967,256.249915,481.249875,1068.74969,17899.994428,0.000216
0.936328,0.045059,0.317717,0.411806,32.398034,74.999961,387.499881,49.999987,131.249954,206.24994,524.99982,24193.741573,0.000102
0.012321,0.035516,0.010129,0.83938,7.605343,0.0,81.249593,6.25,37.499825,37.499768,81.249593,756.244743,8.9e-05
0.05825,0.426345,0.111374,0.156502,33.535454,6.249992,168.749051,12.499987,56.249816,93.749256,212.498745,1362.492344,0.000265
0.599841,0.390209,0.002146,0.001659,5.315588,43.749481,318.668485,31.248584,93.738627,181.181444,387.400807,1074.764603,0.017912
0.097211,0.018267,0.859388,0.043804,30.530701,6.249999,131.249812,6.249999,99.999853,24.999961,174.999785,7449.987973,8.9e-05
0.56846,0.122978,0.865098,0.026239,6.31799,93.749988,487.499929,62.499993,181.249966,224.999971,637.499905,31818.745064,0.000122
0.073612,0.711425,0.164255,0.590892,7.920895,6.249993,412.499009,18.749942,187.499492,199.999582,481.248797,2643.743097,0.000298
0.504711,0.355053,0.019518,0.730613,25.037076,31.249972,643.749125,74.999856,262.499654,299.999623,806.248942,5268.743423,0.000431
0.028109,0.033802,0.013331,0.002224,8.315308,6.249983,168.738579,6.249913,68.744407,93.744259,224.985751,3655.858994,0.003439
0.718502,0.04467,0.29583,0.594668,7.983347,56.249899,431.24903,31.249916,156.249591,231.249546,606.248624,4068.743529,0.000247
0.013161,0.18923,0.444386,0.443239,18.179414,0.0,181.249575,12.499977,99.999769,68.749829,231.249381,4174.990994,8.4e-05
0.531047,0.041865,0.042801,0.002455,33.614969,181.249964,943.749762,118.749973,318.749925,493.749865,1268.749676,24031.243375,0.000423
0.030243,0.810744,0.012164,0.002394,12.445357,93.748909,862.482293,12.499993,174.996213,643.736445,1018.729565,2324.951166,0.009226
0.409572,0.460018,0.501067,0.497585,5.020122,43.749955,549.999371,31.24997,193.749764,312.499638,668.749199,6562.492653,0.000187
0.079121,0.561356,0.295834,0.669633,29.965506,6.249996,212.498924,12.499919,62.499781,137.499225,281.248697,1668.742196,0.000181
0.592937,0.362461,0.340487,0.092086,21.460313,587.49965,3293.747701,274.999846,999.999224,1906.248707,4199.997178,14743.740198,0.001625
0.039086,0.503343,0.91426,0.077094,23.813399,68.749982,949.999588,43.749986,281.249882,612.499722,1149.999494,12337.493398,0.000287
0.098493,0.840353,0.384229,0.044848,32.764839,6.249982,224.9993,37.499929,81.249781,99.999608,249.999282,1718.745259,0.000157
0.095621,0.012946,0.685294,0.187112,5.325721,99.999953,906.249523,68.749964,312.499816,493.749756,1118.749423,14893.742155,0.000258
0.116658,0.106584,0.050367,0.8032,31.703959,49.999527,531.246159,56.249658,274.998066,181.24849,687.494988,3499.974682,0.000776
0.358187,0.111239,0.039788,0.37096,17.019057,37.499716,487.496133,31.249952,281.247784,162.498589,643.745197,3281.226414,0.00078
0.248256,0.733771,0.006574,0.355303,24.060352,31.249911,749.998369,37.499833,268.74944,437.499098,918.747991,2918.743585,0.000875
0.003207,0.000191,0.00112,0.000226,29.490776,0.0,0.0,0.0,0.0,0.0,0.0,1034.055082,0.0
0.265812,0.722899,0.519506,0.362576,18.540871,37.499961,881.249122,81.249915,306.249712,487.499496,1068.748968,6862.493899,0.000318
